code,code_name,D1日期,D2日期,D1收盘价,D2收盘价,D1-D2收益率,D1_5周均线,D1_20周均线,D1_60周均线,D1_J值,D2_J值,持仓周数
sh.600010,包钢股份,2024-05-20,2024-07-01,1.56,1.42,-8.97,1.6,1.55,,-4.77,8.48,6
sh.600010,包钢股份,2025-01-06,2025-02-03,1.77,1.89,6.78,1.89,1.76,,-8.67,13.6,4
sh.600030,中信证券,2024-12-30,2025-01-20,26.97,27.54,2.11,29.84,26.77,,-2.15,4.47,3
sh.600039,四川路桥,2024-12-30,2025-01-20,7.08,7.08,0.0,7.41,6.94,,-7.19,13.3,3
sh.600066,宇通客车,2024-07-08,2024-07-22,23.71,22.67,-4.39,25.03,23.34,,-5.59,12.48,2
sh.600233,圆通速递,2024-06-17,2024-07-29,15.55,13.94,-10.35,16.15,15.07,,-2.74,0.15,6
sh.600309,万华化学,2024-06-17,2024-07-08,83.3,83.32,0.02,86.8,83.09,,-1.1,13.35,3
sh.600346,恒力石化,2024-06-03,2024-07-08,14.21,14.39,1.27,15.11,13.98,,-8.47,10.16,5
sh.600362,江西铜业,2024-06-10,2024-07-22,24.35,20.99,-13.8,25.43,23.41,,-10.17,0.74,6
sh.600362,江西铜业,2024-12-02,2024-12-09,21.44,21.26,-0.84,21.74,21.37,,-0.75,3.04,1
sh.600372,中航机载,2024-12-09,2024-12-23,12.29,12.48,1.55,12.56,12.22,,-0.0,0.89,2
sh.600547,山东黄金,2024-06-10,2024-07-01,27.58,29.21,5.91,28.89,27.01,,-8.43,22.49,3
sh.600570,恒生电子,2024-12-30,2025-01-20,25.36,26.49,4.46,29.2,24.76,,-2.67,5.79,3
sh.600660,福耀玻璃,2024-06-17,2024-06-24,45.17,47.9,6.04,46.26,45.17,,-2.62,18.14,1
sh.600690,海尔智家,2024-06-24,2024-07-15,28.38,27.02,-4.79,29.67,27.54,,-2.02,4.25,3
sh.600690,海尔智家,2024-12-09,2024-12-23,28.4,28.43,0.11,28.89,28.09,,-0.38,6.07,2
sh.600745,闻泰科技,2024-12-23,2025-01-20,35.75,34.88,-2.43,37.14,33.62,,-4.95,20.71,4
sh.600795,国电电力,2024-08-12,2024-09-23,5.54,5.11,-7.76,5.61,5.5,,-2.14,19.46,6
sh.600893,航发动力,2024-12-09,2024-12-23,40.2,41.19,2.46,41.38,39.52,,-2.04,0.33,2
sh.601012,隆基绿能,2024-12-16,2025-01-20,16.34,14.96,-8.45,17.49,16.23,,-3.14,3.94,5
sh.601100,恒立液压,2024-11-25,2024-12-02,53.06,54.81,3.3,54.62,52.04,,-2.22,3.87,1
sh.601127,赛力斯,2024-05-20,2024-05-27,84.11,88.93,5.73,88.57,82.96,,-5.46,9.38,1
sh.601211,国泰君安,2024-12-23,2025-01-20,18.95,18.23,-3.8,18.99,17.35,,-5.41,23.9,4
sh.601318,中国平安,2024-12-16,2025-01-20,52.62,50.86,-3.34,53.55,51.01,,-9.59,17.14,5
sh.601390,中国中铁,2024-05-27,2024-06-03,6.58,6.68,1.52,6.68,6.57,,-1.42,2.43,1
sh.601600,中国铝业,2024-12-02,2025-01-06,7.64,7.28,-4.71,7.86,7.49,,-4.84,9.79,5
sh.601628,中国人寿,2024-12-16,2025-01-13,41.43,39.06,-5.72,42.24,39.51,,-7.42,3.39,4
sh.601668,中国建筑,2024-12-16,2024-12-23,5.91,6.04,2.2,5.97,5.79,,-8.27,2.32,1
sh.601669,中国电建,2024-12-16,2024-12-23,5.42,5.55,2.4,5.52,5.35,,-2.36,4.69,1
sh.601688,华泰证券,2024-12-30,2025-01-20,16.53,17.25,4.36,17.84,16.47,,-3.47,16.6,3
sh.601698,中国卫通,2025-01-06,2025-01-13,18.85,19.61,4.03,20.88,18.76,,-0.5,3.51,1
sh.601799,星宇股份,2024-11-25,2024-12-16,134.54,132.41,-1.58,136.26,131.48,,-2.43,1.33,3
sh.601800,中国交建,2024-12-30,2025-02-03,9.82,9.53,-2.95,10.51,9.78,,-6.96,7.44,5
sh.601857,中国石油,2024-06-10,2024-06-17,9.83,9.97,1.42,9.97,9.6,,-4.35,5.53,1
sh.601919,中远海控,2024-07-15,2024-08-26,13.19,12.52,-5.08,14.72,12.98,,-10.47,0.81,6
sh.601988,中国银行,2024-09-16,2024-09-23,4.64,4.87,4.96,4.76,4.63,,-2.06,25.05,1
sh.603019,中科曙光,2025-01-06,2025-01-20,61.66,66.5,7.85,69.76,59.64,,-7.25,1.84,2
sh.603799,华友钴业,2024-12-23,2025-01-13,30.07,29.61,-1.53,31.37,28.46,,-9.52,5.5,3
sh.603833,欧派家居,2025-01-06,2025-01-27,63.7,65.4,2.67,68.85,61.82,,-9.12,6.0,3
sh.603986,兆易创新,2025-03-24,2025-04-14,117.01,108.3,-7.44,127.4,116.06,92.16,-14.24,3.59,3
sh.688008,澜起科技,2024-08-12,2024-09-23,53.85,57.0,5.85,56.94,53.36,,-0.79,47.51,6
sh.688012,中微公司,2024-12-30,2025-01-13,181.53,188.6,3.89,198.47,175.99,,-4.88,1.87,2
sh.688126,沪硅产业,2024-12-16,2025-01-13,20.49,19.4,-5.32,21.38,18.91,,-0.33,4.85,4
sh.688169,石头科技,2024-07-01,2024-08-19,379.86,217.38,-42.77,400.03,378.46,,-4.95,1.12,7
sh.688396,华润微,2024-12-16,2025-01-13,48.08,47.38,-1.46,49.36,44.68,,-3.5,15.84,4
sh.688599,天合光能,2024-12-16,2025-02-03,21.8,18.68,-14.31,23.37,21.1,,-1.68,12.31,7
sz.000002,万科A,2024-12-09,2025-01-20,8.41,7.39,-12.13,8.56,8.06,,-3.01,21.63,6
sz.000333,美的集团,2024-06-03,2024-07-08,65.16,65.0,-0.25,67.29,64.47,,-1.95,8.61,5
sz.000333,美的集团,2024-11-25,2024-12-02,70.13,72.85,3.88,71.52,68.41,,-1.32,4.38,1
sz.000408,藏格矿业,2024-12-30,2025-01-06,27.17,29.5,8.58,27.5,26.9,,-4.81,29.88,1
sz.000617,中油资本,2024-12-09,2025-01-20,7.26,6.69,-7.85,7.51,6.76,,-4.51,15.47,6
sz.000630,铜陵有色,2024-06-03,2024-07-01,3.79,3.69,-2.64,3.99,3.77,,-1.79,8.94,4
sz.000661,长春高新,2024-12-23,2025-02-03,101.31,96.51,-4.74,104.48,98.35,,-6.63,14.84,6
sz.000768,中航西飞,2024-12-09,2024-12-23,26.71,26.72,0.04,26.96,26.22,,-1.21,0.61,2
sz.000786,北新建材,2024-12-02,2024-12-09,28.09,29.22,4.02,29.23,28.02,,-7.26,2.89,1
sz.000792,盐湖股份,2024-12-09,2025-01-13,16.76,16.79,0.18,17.84,16.52,,-2.11,7.33,5
sz.000858,五粮液,2024-12-23,2025-01-13,142.52,132.3,-7.17,145.4,139.24,,-5.0,1.91,3
sz.000983,山西焦煤,2024-12-02,2024-12-09,8.25,8.28,0.36,8.32,8.21,,-0.42,13.94,1
sz.000999,华润三九,2024-12-09,2024-12-16,45.24,46.4,2.56,45.79,44.45,,-1.31,13.61,1
sz.002001,新和成,2024-12-09,2024-12-23,21.53,22.11,2.69,21.77,21.39,,-5.57,13.64,2
sz.002027,分众传媒,2024-12-23,2025-01-13,6.87,6.57,-4.37,6.93,6.61,,-5.1,3.54,3
sz.002050,三花智控,2025-03-24,2025-04-14,29.67,24.08,-18.84,30.55,28.09,23.53,-2.19,3.66,3
sz.002074,国轩高科,2024-12-23,2025-01-13,21.82,20.96,-3.94,22.35,21.22,,-2.91,2.64,3
sz.002142,宁波银行,2024-12-16,2025-01-06,23.5,25.11,6.85,24.28,23.18,,-9.69,33.44,3
sz.002241,歌尔股份,2024-09-02,2024-09-23,18.98,20.94,10.33,20.26,18.94,,-0.47,45.78,3
sz.002271,东方雨虹,2024-12-16,2024-12-23,12.95,13.85,6.95,13.49,12.65,,-0.91,12.22,1
sz.002311,海大集团,2024-06-24,2024-07-01,47.05,47.7,1.38,48.69,47.02,,-4.25,0.12,1
sz.002352,顺丰控股,2024-12-02,2024-12-09,40.58,41.54,2.37,42.16,39.56,,-9.12,0.18,1
sz.002352,顺丰控股,2024-12-16,2024-12-23,40.25,40.65,0.99,40.95,40.18,,-2.8,1.99,1
sz.002371,北方华创,2024-05-20,2024-06-03,287.0,318.39,10.94,301.72,280.18,,-5.07,46.96,2
sz.002371,北方华创,2024-12-30,2025-01-13,375.1,388.58,3.59,398.73,372.45,,-0.97,5.4,2
sz.002459,晶澳科技,2024-12-23,2025-01-20,14.08,12.69,-9.87,15.57,13.84,,-14.41,1.36,4
sz.002466,天齐锂业,2024-12-23,2025-02-03,34.13,32.1,-5.95,36.3,32.95,,-6.97,14.46,6
sz.002594,比亚迪,2024-12-02,2024-12-16,280.28,280.2,-0.03,284.3,270.98,,-4.18,2.15,2
sz.002601,龙佰集团,2024-12-02,2024-12-23,18.12,17.51,-3.37,18.55,17.82,,-2.16,1.67,3
sz.002648,卫星化学,2024-06-10,2024-06-17,17.97,18.14,0.95,18.32,17.62,,-1.84,2.42,1
sz.002648,卫星化学,2024-12-09,2024-12-23,17.58,18.22,3.64,17.96,17.26,,-4.87,12.22,2
sz.002714,牧原股份,2024-06-24,2024-07-15,43.6,45.88,5.23,45.51,43.34,,-3.59,19.98,3
sz.002736,国信证券,2024-12-16,2025-01-13,11.25,10.48,-6.84,11.42,10.66,,-7.15,4.43,4
sz.002812,恩捷股份,2024-12-23,2025-02-03,33.16,30.25,-8.78,35.22,32.34,,-6.74,3.99,6
sz.002920,德赛西威,2024-12-16,2025-01-20,112.75,110.8,-1.73,120.54,110.23,,-4.16,18.8,5
sz.002938,鹏鼎控股,2024-08-19,2024-08-26,34.25,35.8,4.53,35.11,31.9,,-5.35,6.04,1
sz.002938,鹏鼎控股,2024-09-02,2024-09-09,33.55,33.75,0.6,34.49,33.18,,-2.27,3.7,1
sz.300014,亿纬锂能,2024-12-30,2025-01-13,43.79,45.03,2.83,46.74,43.6,,-8.75,5.52,2
sz.300015,爱尔眼科,2024-12-23,2025-01-20,13.77,12.38,-10.09,14.33,13.17,,-9.07,2.3,4
sz.300059,东方财富,2025-01-06,2025-01-20,21.88,24.09,10.1,24.76,21.4,,-13.54,10.62,2
sz.300122,智飞生物,2024-12-23,2025-02-03,27.93,25.4,-9.06,28.92,27.55,,-1.79,12.63,6
sz.300274,阳光电源,2024-11-25,2025-01-13,81.28,75.05,-7.66,84.57,80.97,,-6.33,19.13,7
sz.300308,中际旭创,2024-12-02,2024-12-23,131.51,136.85,4.06,134.65,130.77,,-0.18,25.27,3
sz.300316,晶盛机电,2024-12-16,2025-01-13,32.57,31.82,-2.3,33.81,30.42,,-3.28,21.67,4
sz.300413,芒果超媒,2025-01-06,2025-01-13,25.27,26.65,5.46,27.65,25.17,,-1.52,6.59,1
sz.300433,蓝思科技,2025-03-24,2025-04-14,25.61,19.87,-22.41,26.6,24.41,18.95,-2.68,4.59,3
sz.300442,润泽科技,2025-03-31,2025-04-07,56.06,54.81,-2.23,60.97,54.16,35.9,-10.11,3.8,1
sz.300896,爱美客,2024-12-23,2025-01-20,201.7,171.6,-14.92,208.54,192.67,,-3.52,0.74,4
sz.300979,华利集团,2024-11-11,2024-11-18,65.88,69.37,5.3,68.58,64.67,,-3.47,8.61,1
sz.301269,华大九天,2025-01-13,2025-02-03,110.42,115.56,4.65,117.07,105.49,,-2.05,7.02,3
